lecture_id,r_id,degree
70,177,0.1653204451
70,393,0.1600320543
70,218,0.1551570482
71,168,0.3618484128
71,137,0.2570287172
71,648,0.240393617
71,90,0.2326871397
71,158,0.224629587
71,602,0.2056418434
71,438,0.1909786207
71,409,0.1855048149
71,19,0.1498020782
72,267,0.4226220535
72,548,0.3843179723
72,4,0.3812945037
72,407,0.2477897251
72,188,0.2212096073
72,225,0.2212096073
72,703,0.2037084823
72,32,0.1598009005
72,629,0.1598009005
73,228,0.4092439056
73,584,0.2908907488
73,275,0.2625928813
73,720,0.2118795113
73,718,0.1984450042
73,386,0.1931246884
73,707,0.1911184925
73,412,0.187853863
73,559,0.1819502872
74,318,0.5343437569
74,633,0.5343437569
74,480,0.5102541252
74,117,0.4109849098
74,314,0.3564030412
74,445,0.3409574259
74,527,0.3409574259
74,710,0.2838332597
74,235,0.2573905441
75,524,0.3971414891
75,309,0.1487604379
75,187,0.1352209168
75,611,0.1343711808
75,261,0.1329388467
75,372,0.1329388467
75,631,0.1309832642
75,709,0.1309832642
75,196,0.128937716
76,345,0.6606422182
76,511,0.325295015
76,348,0.2961455574
76,2,0.2397505983
76,124,0.2385291915
76,444,0.2357292464
76,254,0.2313420325
76,454,0.2308526261
76,598,0.2183018623
77,611,0.23276277
77,187,0.2061544967
77,128,0.1924244513
77,118,0.1521412889
77,522,0.1450773016
77,628,0.1450773016
77,325,0.1414339013
77,594,0.1388467655
77,464,0.1371415467
78,484,0.3061324709
78,339,0.2068395547
78,732,0.179913921
78,733,0.1690104449
78,725,0.16418279
78,22,0.1608856755
78,655,0.1596002773
78,559,0.1516891822
78,706,0.1513246943
79,229,0.9963123933
79,172,0.3778942776
79,668,0.361517983
79,163,0.3190469231
79,182,0.2999535405
79,171,0.297519214
79,521,0.2918600477
79,446,0.2496368086
79,311,0.245845721
80,260,0.3954095413
80,577,0.2887193821
80,625,0.2822663787
80,153,0.2700010456
80,58,0.2407599486
80,423,0.2272521127
80,415,0.2240125396
80,762,0.21784228
80,424,0.2094607641
81,755,0.9318123616
81,184,0.8875166254
81,661,0.872533758
81,48,0.8647598066
81,456,0.81206702
81,573,0.3417701608
81,616,0.3417701608
81,538,0.3004596069
81,426,0.2838867861
82,394,0.9141590382
82,29,0.1615257034
82,194,0.1615257034
82,115,0.156615625
82,375,0.1469650998
82,177,0.1449644801
82,383,0.1357052404
82,295,0.1211353201
82,721,0.1211353201
83,153,0.4483965939
83,403,0.1276171378
83,690,0.1276171378
83,411,0.08022624139
83,463,0.07968352188
83,619,0.07937713043
83,678,0.07937713043
83,20,0.07188792422
83,178,0.07001168437
84,406,0.1024633437
84,506,0.1024633437
84,132,0.09751966812
84,261,0.08687130448
84,372,0.08687130448
84,631,0.08559339356
84,709,0.08559339356
84,435,0.08380239807
84,535,0.08380239807
85,162,0.1206600769
85,322,0.09728766184
85,10,0.09120202152
85,313,0.06954544095
85,201,0.06483169045
85,281,0.05953425079
85,431,0.05660735086
85,379,0.05625679404
85,26,0.0552293584
86,738,0.2120425278
86,177,0.2044293646
86,393,0.1993382591
86,422,0.1685684973
86,637,0.1553933263
86,315,0.1496458585
86,52,0.1399933444
86,581,0.1395942434
86,741,0.1395942434
87,756,0.3497102453
87,22,0.3358688798
87,309,0.3002699271
87,290,0.2817426168
87,14,0.2579038109
87,249,0.2480228709
87,758,0.2414841036
87,292,0.1704268695
87,630,0.165112377
88,592,0.2662064172
88,662,0.2257652653
88,368,0.2090264875
88,40,0.204360146
88,19,0.1961800173
88,760,0.1857609323
88,279,0.1820727601
88,106,0.1806686257
88,298,0.1806686257
89,759,0.977512222
89,22,0.2965297433
89,175,0.2448401259
89,324,0.2448401259
89,446,0.2369663337
89,520,0.2348842774
89,114,0.2333389073
89,421,0.2293344105
89,399,0.2248911716
